timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777593080220,2380,01 - POST /auth/user/login,200,OK,Virtual Users [200 threads] 1-1,text,true,,405,361,17,17,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,2380,0,110
1777593082619,81,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-1,text,true,,790,433,17,17,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,81,0,0
1777593082701,109,03 - POST /restaurants/5/reviews,201,Created,Virtual Users [200 threads] 1-1,text,true,,566,567,18,18,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,109,0,0
1777593080336,16070,01 - POST /auth/user/login,200,OK,Virtual Users [200 threads] 1-2,text,true,,399,359,108,108,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,16070,0,77
1777593096408,86,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-2,text,true,,790,433,108,108,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,86,0,0
1777593096496,96,03 - POST /restaurants/5/reviews,201,Created,Virtual Users [200 threads] 1-2,text,true,,563,567,109,109,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,96,0,0
1777593081086,17478,01 - POST /auth/user/login,200,OK,Virtual Users [200 threads] 1-7,text,true,,402,361,121,121,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,17478,0,72
1777593098566,81,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-7,text,true,,790,436,122,122,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,81,0,0
1777593098649,103,03 - POST /restaurants/5/reviews,201,Created,Virtual Users [200 threads] 1-7,text,true,,563,570,122,122,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,103,0,0
1777593081830,17773,01 - POST /auth/user/login,200,OK,Virtual Users [200 threads] 1-12,text,true,,400,360,127,127,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,17773,0,88
1777593099605,129,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-12,text,true,,790,436,128,128,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,128,0,0
1777593080633,19168,01 - POST /auth/user/login,200,OK,Virtual Users [200 threads] 1-4,text,true,,401,361,128,128,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,19168,0,85
1777593099735,114,03 - POST /restaurants/5/reviews,201,Created,Virtual Users [200 threads] 1-12,text,true,,562,571,129,129,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,114,0,0
1777593099802,77,02 - GET /restaurants (search),200,OK,Virtual Users [200 threads] 1-4,text,true,,790,433,128,128,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,77,0,0
1777593099880,122,03 - POST /restaurants/5/reviews,201,Created,Virtual Users [200 threads] 1-4,text,true,,562,567,129,129,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/5/reviews,122,0,0
