timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777593308807,168,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-1,text,false,Login failed — check credentials in users.csv,337,361,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,168,0,93
1777593308829,146,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-2,text,false,Login failed — check credentials in users.csv,337,359,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,146,0,71
1777593308889,146,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-3,text,false,Login failed — check credentials in users.csv,337,361,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,146,0,74
1777593308987,85,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-1,text,true,,790,311,6,6,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,85,0,0
1777593308987,85,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-2,text,true,,790,311,6,6,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,84,0,0
1777593308948,147,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-4,text,false,Login failed — check credentials in users.csv,337,361,6,6,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,147,0,76
1777593309036,87,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-3,text,true,,790,311,6,6,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,87,0,0
1777593309072,75,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-1,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,7,7,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,75,0,0
1777593309072,75,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-2,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,7,7,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,75,0,0
1777593309006,145,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-5,text,false,Login failed — check credentials in users.csv,337,359,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,145,0,73
